id,numyrs,year,choice,wage,educ,expwc,expbc,expser,manuf,black,lwage,enroll,employ,attrit,exper,expersq,status
1,9,81,2,NA,10,0,0,0,0,1,NA,0,0,0,0,0,2
1,9,82,2,NA,10,0,0,0,0,1,NA,0,0,0,0,0,2
1,9,83,2,NA,10,0,0,0,0,1,NA,0,0,0,0,0,2
1,9,84,1,NA,10,0,0,0,0,1,NA,1,0,0,0,0,1
1,9,85,2,NA,11,0,0,0,0,1,NA,0,0,0,0,0,2
1,9,86,2,NA,11,0,0,0,0,1,NA,0,0,0,0,0,2
1,9,87,2,NA,11,0,0,0,0,1,NA,0,0,0,0,0,2
2,9,81,2,NA,12,0,0,0,0,1,NA,0,0,0,0,0,2
2,9,82,4,10091.740234375,12,0,0,0,0,1,9.2194728851,0,1,0,0,0,3
2,9,83,4,13378.3603515625,12,0,1,0,0,1,9.5013933182,0,1,0,1,1,3
2,9,84,5,15889.830078125,12,0,2,0,0,1,9.6734342575,0,1,0,2,4,3
2,9,85,5,NA,12,0,2,1,0,1,NA,0,1,0,3,9,3
2,9,86,4,18000,12,0,2,2,0,1,9.7981271744,0,1,0,4,16,3
2,9,87,4,15841.41015625,12,0,3,2,0,1,9.6703824997,0,1,0,5,25,3
3,5,81,1,NA,12,0,0,0,0,1,NA,1,0,1,0,0,1
4,11,81,2,NA,9,0,0,0,0,1,NA,0,0,0,0,0,2
4,11,82,2,NA,9,0,0,0,0,1,NA,0,0,0,0,0,2
4,11,83,2,NA,9,0,0,0,0,1,NA,0,0,0,0,0,2
4,11,84,2,NA,9,0,0,0,0,1,NA,0,0,0,0,0,2
4,11,85,2,NA,9,0,0,0,0,1,NA,0,0,0,0,0,2
4,11,86,2,NA,9,0,0,0,0,1,NA,0,0,0,0,0,2
4,11,87,5,6093.6000976562,9,0,0,0,0,1,8.7149944305,0,1,0,0,0,3
5,9,81,3,9268.51953125,9,0,1,0,0,1,9.1343793869,0,1,0,1,1,3
